"x"	"y"
-119.25	44.25
-114.75	44.25
-114.25	44.25
-112.75	44.25
-112.25	44.25
-111.75	44.25
-109.75	44.25
-109.25	44.25
-108.75	44.25
-106.75	44.25
-103.75	44.25
-103.25	44.25
-102.25	44.25
-91.25	44.25
-90.75	44.25
-90.25	44.25
-89.75	44.25
-89.25	44.25
-88.25	44.25
-87.75	44.25
-80.75	44.25
-75.75	44.25
-73.75	44.25
-73.25	44.25
-72.75	44.25
-71.75	44.25
-121.75	43.75
-121.25	43.75
-120.75	43.75
-119.75	43.75
-119.25	43.75
-115.75	43.75
-114.25	43.75
-113.75	43.75
-113.25	43.75
-112.25	43.75
-111.75	43.75
-110.75	43.75
-106.75	43.75
-106.25	43.75
-104.75	43.75
-103.25	43.75
-89.75	43.75
-88.25	43.75
-84.75	43.75
-73.25	43.75
-70.75	43.75
-69.75	43.75
-123.75	43.25
-119.75	43.25
-115.25	43.25
-114.25	43.25
-113.75	43.25
-112.75	43.25
-112.25	43.25
-111.75	43.25
-111.25	43.25
-110.75	43.25
-107.25	43.25
-106.75	43.25
-105.25	43.25
-102.75	43.25
-100.25	43.25
-94.75	43.25
-90.25	43.25
-89.75	43.25
-89.25	43.25
-88.25	43.25
-85.25	43.25
-80.25	43.25
-79.75	43.25
-76.25	43.25
-73.25	43.25
-72.75	43.25
-118.75	42.75
-114.25	42.75
-112.75	42.75
-112.25	42.75
-111.75	42.75
-110.75	42.75
-108.75	42.75
-106.75	42.75
-106.25	42.75
-99.25	42.75
-98.75	42.75
-98.25	42.75
-90.25	42.75
-89.75	42.75
-89.25	42.75
-88.25	42.75
-87.75	42.75
-85.25	42.75
-82.25	42.75
-80.25	42.75
-79.25	42.75
-76.25	42.75
-73.75	42.75
-72.75	42.75
-72.25	42.75
-71.75	42.75
-71.25	42.75
-122.25	42.25
-121.75	42.25
-114.75	42.25
-114.25	42.25
-113.75	42.25
-111.25	42.25
-110.75	42.25
-104.75	42.25
-98.75	42.25
-98.25	42.25
-97.75	42.25
-93.75	42.25
-85.75	42.25
-81.75	42.25
-76.75	42.25
-76.25	42.25
-73.25	42.25
-72.75	42.25
-72.25	42.25
-71.75	42.25
-71.25	42.25
-70.75	42.25
-70.25	42.25
-124.25	41.75
-123.75	41.75
-123.25	41.75
-122.75	41.75
-122.25	41.75
-121.75	41.75
-121.25	41.75
-120.75	41.75
-120.25	41.75
-118.75	41.75
-117.75	41.75
-114.75	41.75
-111.75	41.75
-109.75	41.75
-106.75	41.75
-106.25	41.75
-98.25	41.75
-97.25	41.75
-85.75	41.75
-79.75	41.75
-77.25	41.75
-74.25	41.75
-73.75	41.75
-73.25	41.75
-72.75	41.75
-72.25	41.75
-71.75	41.75
-71.25	41.75
-70.75	41.75
-70.25	41.75
-123.25	41.25
-122.75	41.25
-122.25	41.25
-121.75	41.25
-121.25	41.25
-120.75	41.25
-120.25	41.25
-119.25	41.25
-117.75	41.25
-116.25	41.25
-115.75	41.25
-115.25	41.25
-114.75	41.25
-111.75	41.25
-110.75	41.25
-105.75	41.25
-105.25	41.25
-104.75	41.25
-103.25	41.25
-77.25	41.25
-75.75	41.25
-74.25	41.25
