decimalLongitude,decimalLatitude
-16.909478,32.646768
-17.054827,32.75616
-16.909728,32.720295
-16.850091,32.679663
-16.97528,32.648493
-17.050012,32.726184
-16.9430733,32.7584784
-17.072939,32.755517
-17.1380168,32.7573073
-16.9102237,32.8264965
