Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
4.58117E-11,0.000000005,0.000000001,0.987004104,0.005671078,0
5.76707E-11,0.00000001,0.000000002,0.986320109,0.005671078,0
1.01429E-10,0.00000003,0.000000003,0.98495212,0.005671078,0
1.3875E-10,0.000000103,0.000000004,0.980848153,0.005671078,0
2.19034E-10,0.000000251,0.000000006,0.974692202,0.005671078,0
5.65337E-10,0.000001049,0.000000015,0.960328317,0.005671078,0
1.09427E-9,0.00000257,0.00000003,0.948016416,0.005671078,0
2.53282E-9,0.000010194,0.000000069,0.918604651,0.005671078,0
4.26175E-9,0.000025171,0.000000117,0.888508892,0.005671078,0
6.51428E-9,0.000050567,0.000000178,0.856361149,0.005671078,0
1.10777E-8,0.000100625,0.000000303,0.81874145,0.005671078,0
2.36315E-8,0.00025146,0.000000647,0.755813953,0.005671078,0
4.33366E-8,0.000501991,0.000001187,0.701778386,0.005671078,0
7.07294E-8,0.001000841,0.000001938,0.639534884,0.005671078,0
1.78063E-7,0.002501019,0.000004878,0.55129959,0.005671078,0
3.81846E-7,0.005001104,0.000010461,0.489056088,0.005671078,0
7.23556E-7,0.010000353,0.000019823,0.426128591,0.007561437,0
1.9741E-6,0.025180927,0.000054081,0.341997264,0.011342155,0
4.20306E-6,0.050250811,0.000115137,0.281805746,0.02268431,0
9.47733E-6,0.100862018,0.000259582,0.227086183,0.034026465,0
2.7828E-5,0.201973695,0.00076182,0.184678523,0.069943289,0
3.9429E-5,0.302138228,0.001079065,0.164158687,0.085066163,0
5.49621E-5,0.401230559,0.001503525,0.149794802,0.094517958,0
7.01868E-5,0.502228379,0.001919206,0.138850889,0.107750473,0
9.22116E-5,0.60161907,0.002519941,0.130642955,0.119092628,0
1.07987E-4,0.702675079,0.002949791,0.12380301,0.124763705,0
1.24763E-4,0.756841184,0.003406472,0.120383037,0.139886578,0
1.30921E-4,0.812994833,0.003573994,0.117647059,0.143667297,0
1.36825E-4,0.903379988,0.003734566,0.112859097,0.147448015,0
1.48401E-4,1.001954058,0.004049249,0.108071135,0.151228733,0
1.65673E-4,1.101726773,0.004518404,0.103967168,0.162570888,0
1.77972E-4,1.205710055,0.004852227,0.099863201,0.170132325,0
1.95789E-4,1.318116859,0.005335378,0.095759234,0.177693762,0
2.1258E-4,1.420993829,0.005790314,0.092339261,0.18147448,0
2.48045E-4,1.516742789,0.006749791,0.089603283,0.200378072,0
3.1965E-4,1.751165863,0.00868138,0.084131327,0.224952741,0
3.6485E-4,2.030750036,0.009896808,0.078659371,0.228733459,0
3.85449E-4,2.257339874,0.010449744,0.074555404,0.230623819,0
4.17585E-4,2.503196679,0.011311101,0.070451436,0.238185255,0
4.97889E-4,2.7766724,0.013457027,0.066347469,0.24952741,0
5.61152E-4,3.007400328,0.015141016,0.062927497,0.255198488,0
6.23355E-4,3.262970097,0.016791207,0.060191518,0.260869565,0
6.79271E-4,3.557047213,0.018269899,0.05745554,0.262759924,0
7.72133E-4,3.773104274,0.020715791,0.055403557,0.268431002,0
8.59577E-4,4.029715704,0.023007885,0.053351573,0.277882798,0
9.59782E-4,4.305048128,0.025621296,0.05129959,0.287334594,0
9.81578E-4,4.500379003,0.026187893,0.049931601,0.289224953,0
1.11171E-3,4.804828438,0.029557157,0.047879617,0.289224953,0
1.15952E-3,5.045397142,0.030789162,0.046511628,0.291115312,0
1.19251E-3,5.281774353,0.031637431,0.045143639,0.293005671,0
1.36545E-3,5.546008527,0.036059944,0.04377565,0.300567108,0
1.45667E-3,5.763076141,0.038376523,0.042407661,0.302457467,0
1.57837E-3,6.130277805,0.041449957,0.041039672,0.311909263,0
1.72186E-3,6.252816736,0.045048521,0.040355677,0.315689981,0
1.97329E-3,6.527089234,0.051289186,0.039671683,0.321361059,0
2.06556E-3,6.932719919,0.053559046,0.038303694,0.323251418,0
2.06934E-3,7.139654221,0.05365179,0.037619699,0.323251418,0
2.21293E-3,7.303724341,0.057161828,0.036935705,0.328922495,0
2.30918E-3,7.597354284,0.059500162,0.03625171,0.334593573,0
2.50632E-3,7.797686693,0.064253277,0.035567715,0.338374291,0
2.56693E-3,8.110169176,0.06570511,0.034883721,0.34026465,0
2.61761E-3,8.3160613,0.066915475,0.034199726,0.34026465,0
2.65388E-3,8.638727591,0.06777976,0.033515732,0.342155009,0
2.95863E-3,8.83704913,0.074979593,0.032831737,0.342155009,0
3.3031E-3,9.273258381,0.082984873,0.032147743,0.345935728,0
3.32323E-3,9.615448448,0.08344832,0.031463748,0.347826087,0
3.56243E-3,9.887966515,0.08892071,0.030779754,0.349716446,0
3.67409E-3,10.032928112,0.091452962,0.030095759,0.351606805,0
3.86927E-3,10.36667418,0.09584565,0.030095759,0.353497164,0
4.00991E-3,10.767664913,0.098984534,0.029411765,0.353497164,0
4.11408E-3,11.11830922,0.10129561,0.02872777,0.357277883,0
4.24548E-3,11.605481343,0.104193662,0.028043776,0.359168242,0
4.30072E-3,12.035553007,0.105406486,0.027359781,0.359168242,0
4.34115E-3,12.469667705,0.106292069,0.026675787,0.359168242,0
4.40797E-3,12.576850276,0.107751947,0.025991792,0.359168242,0
4.58015E-3,12.853018595,0.111491608,0.025991792,0.364839319,0
4.86451E-3,13.26927066,0.117599582,0.025307798,0.368620038,0
5.21103E-3,13.951432125,0.124930193,0.024623803,0.370510397,0
5.36179E-3,14.487611353,0.12808156,0.023939808,0.372400756,0
5.42192E-3,15.029803163,0.129332079,0.023255814,0.372400756,0
5.46744E-3,15.525074578,0.130276518,0.022571819,0.374291115,0
5.56356E-3,15.797150357,0.132263932,0.021887825,0.378071834,0
5.68E-3,16.077737372,0.134659246,0.021887825,0.379962193,0
5.84972E-3,16.401290998,0.138127045,0.02120383,0.381852552,0
6.04454E-3,16.752391864,0.142073777,0.02120383,0.383742911,0
6.08727E-3,17.006023525,0.142934641,0.020519836,0.383742911,0
6.14813E-3,17.367204615,0.144157566,0.020519836,0.38563327,0
6.19196E-3,17.700527434,0.145036347,0.019835841,0.391304348,0
6.23006E-3,17.990210798,0.145798612,0.019835841,0.393194707,0
6.28295E-3,18.618506118,0.146854624,0.019151847,0.393194707,0
6.31122E-3,18.766834072,0.147417896,0.018467852,0.393194707,0
6.40501E-3,19.259006916,0.149281594,0.018467852,0.395085066,0
6.48992E-3,19.684258203,0.150961852,0.017783858,0.396975425,0
6.5355E-3,19.912557264,0.151861175,0.017783858,0.398865784,0
6.73362E-3,20.204486181,0.155747659,0.017099863,0.398865784,0
6.91914E-3,20.477861829,0.159354984,0.017099863,0.400756144,0
7.01132E-3,20.613689272,0.161135854,0.017099863,0.402646503,0
7.11226E-3,20.903988998,0.163077371,0.016415869,0.402646503,0
7.26389E-3,21.340078534,0.165977093,0.016415869,0.404536862,0
7.38594E-3,21.55531331,0.168296495,0.015731874,0.404536862,0
7.50857E-3,21.771566594,0.170613916,0.015731874,0.406427221,0
7.70055E-3,22.110133228,0.174216251,0.015731874,0.40831758,0
7.9475E-3,22.743170684,0.178804265,0.01504788,0.40831758,0
8.01314E-3,22.911447598,0.180015307,0.01504788,0.41020794,0
8.06447E-3,23.069490619,0.180959713,0.014363885,0.41020794,0
8.28212E-3,23.739659534,0.184940337,0.014363885,0.413988658,0
8.31927E-3,23.982090523,0.185615936,0.013679891,0.413988658,0
8.3408E-3,24.12261626,0.186007036,0.013679891,0.415879017,0
8.41101E-3,24.580760773,0.187279502,0.013679891,0.417769376,0
8.51233E-3,25.431993367,0.189108748,0.012995896,0.417769376,0
8.66494E-3,25.59925559,0.191848682,0.012311902,0.417769376,0
9.23112E-3,26.21979774,0.201854052,0.012311902,0.419659735,0
9.36697E-3,26.368690358,0.204217992,0.012311902,0.421550095,0
9.53781E-3,26.520830935,0.207170977,0.011627907,0.423440454,0
9.87298E-3,26.819314678,0.212901206,0.011627907,0.429111531,0
1.04005E-2,27.289077765,0.221753742,0.011627907,0.43100189,0
1.06379E-2,27.603397091,0.225672782,0.010943912,0.440453686,0
1.10828E-2,28.532158131,0.23291412,0.010943912,0.442344045,0
1.12389E-2,28.99396967,0.235422169,0.010259918,0.442344045,0
1.13135E-2,29.214704955,0.236615175,0.010259918,0.444234405,0
1.14418E-2,29.594281339,0.238657986,0.010259918,0.446124764,0
1.17455E-2,30.848015311,0.243449801,0.009575923,0.448015123,0
1.18239E-2,32.036287842,0.244677389,0.008891929,0.449905482,0
1.20343E-2,32.619318392,0.247952444,0.008207934,0.449905482,0
1.22667E-2,33.262954098,0.251535109,0.008207934,0.4536862,0
1.24274E-2,33.556633446,0.253994528,0.00752394,0.457466919,0
1.26636E-2,33.988007635,0.257577908,0.00752394,0.461247637,0
1.27291E-2,34.107630466,0.258565513,0.00752394,0.465028355,0
1.29771E-2,34.560663542,0.262282053,0.00752394,0.466918715,0
